COD. ESTACAO, RIO, DATA/HORA, NIVEL,VAZAO,CHUVA 
66945000, Rio Aquidauana , 01/04/2022 00:00:00, 368, 139.38, 0
66945000, Rio Aquidauana , 01/04/2022 00:15:00, 367, 138.7, 0
66945000, Rio Aquidauana , 01/04/2022 00:30:00, 366, 138.01, 0
66945000, Rio Aquidauana , 01/04/2022 00:45:00, 365, 137.33, 0
66945000, Rio Aquidauana , 01/04/2022 01:00:00, 363, 135.96, 0
66945000, Rio Aquidauana , 01/04/2022 01:15:00, 362, 135.28, 0
66945000, Rio Aquidauana , 01/04/2022 01:30:00, 361, 134.6, 0
66945000, Rio Aquidauana , 01/04/2022 01:45:00, 360, 133.92, 0
66945000, Rio Aquidauana , 01/04/2022 02:00:00, 358, 132.56, 0
66945000, Rio Aquidauana , 01/04/2022 02:15:00, 357, 131.88, 0
66945000, Rio Aquidauana , 01/04/2022 02:30:00, 356, 131.2, 0
66945000, Rio Aquidauana , 01/04/2022 02:45:00, 355, 130.52, 0
66945000, Rio Aquidauana , 01/04/2022 03:00:00, 353, 129.17, 0.2
66945000, Rio Aquidauana , 01/04/2022 03:15:00, 352, 128.49, 0
66945000, Rio Aquidauana , 01/04/2022 03:30:00, 351, 127.81, 0
66945000, Rio Aquidauana , 01/04/2022 03:45:00, 350, 127.14, 0
66945000, Rio Aquidauana , 01/04/2022 04:00:00, 348, 125.79, 0
66945000, Rio Aquidauana , 01/04/2022 04:15:00, 347, 125.12, 0
66945000, Rio Aquidauana , 01/04/2022 04:30:00, 346, 124.44, 0
66945000, Rio Aquidauana , 01/04/2022 04:45:00, 345, 123.77, 0
66945000, Rio Aquidauana , 01/04/2022 05:00:00, 344, 123.1, 0
66945000, Rio Aquidauana , 01/04/2022 05:15:00, 343, 122.43, 0
66945000, Rio Aquidauana , 01/04/2022 05:30:00, 342, 121.76, 0
66945000, Rio Aquidauana , 01/04/2022 05:45:00, 341, 121.09, 0
66945000, Rio Aquidauana , 01/04/2022 06:00:00, 340, 120.42, 0
66945000, Rio Aquidauana , 01/04/2022 06:15:00, 339, 119.75, 0
66945000, Rio Aquidauana , 01/04/2022 06:30:00, 338, 119.08, 0
66945000, Rio Aquidauana , 01/04/2022 06:45:00, 338, 119.08, 0
66945000, Rio Aquidauana , 01/04/2022 07:00:00, 337, 118.41, 0
66945000, Rio Aquidauana , 01/04/2022 07:15:00, 336, 117.75, 0
66945000, Rio Aquidauana , 01/04/2022 07:30:00, 335, 117.08, 0
66945000, Rio Aquidauana , 01/04/2022 07:45:00, 335, 117.08, 0
66945000, Rio Aquidauana , 01/04/2022 08:00:00, 334, 116.41, 0
66945000, Rio Aquidauana , 01/04/2022 08:15:00, 334, 116.41, 0
66945000, Rio Aquidauana , 01/04/2022 08:30:00, 333, 115.75, 0
66945000, Rio Aquidauana , 01/04/2022 08:45:00, 333, 115.75, 0
66945000, Rio Aquidauana , 01/04/2022 09:00:00, 332, 115.09, 0
66945000, Rio Aquidauana , 01/04/2022 09:15:00, 332, 115.09, 0
66945000, Rio Aquidauana , 01/04/2022 09:30:00, 332, 115.09, 0
66945000, Rio Aquidauana , 01/04/2022 09:45:00, 332, 115.09, 0
66945000, Rio Aquidauana , 01/04/2022 10:00:00, 331, 114.42, 0
66945000, Rio Aquidauana , 01/04/2022 10:15:00, 332, 115.09, 0
66945000, Rio Aquidauana , 01/04/2022 10:30:00, 331, 114.42, 0
66945000, Rio Aquidauana , 01/04/2022 10:45:00, 330, 113.76, 0
66945000, Rio Aquidauana , 01/04/2022 11:00:00, 330, 113.76, 0
66945000, Rio Aquidauana , 01/04/2022 11:15:00, 331, 114.42, 0
66945000, Rio Aquidauana , 01/04/2022 11:30:00, 331, 114.42, 0
66945000, Rio Aquidauana , 01/04/2022 11:45:00, 331, 114.42, 0
66945000, Rio Aquidauana , 01/04/2022 12:00:00, 331, 114.42, 0
66945000, Rio Aquidauana , 01/04/2022 12:15:00, 331, 114.42, 0
66945000, Rio Aquidauana , 01/04/2022 12:30:00, 332, 115.09, 0.2
66945000, Rio Aquidauana , 01/04/2022 12:45:00, 332, 115.09, 0
66945000, Rio Aquidauana , 01/04/2022 13:00:00, 332, 115.09, 0
66945000, Rio Aquidauana , 01/04/2022 13:15:00, 333, 115.75, 0
66945000, Rio Aquidauana , 01/04/2022 13:30:00, 333, 115.75, 0
66945000, Rio Aquidauana , 01/04/2022 13:45:00, 334, 116.41, 0
66945000, Rio Aquidauana , 01/04/2022 14:00:00, 334, 116.41, 0
66945000, Rio Aquidauana , 01/04/2022 14:15:00, 335, 117.08, 0
66945000, Rio Aquidauana , 01/04/2022 14:30:00, 335, 117.08, 0
66945000, Rio Aquidauana , 01/04/2022 14:45:00, 335, 117.08, 0
66945000, Rio Aquidauana , 01/04/2022 15:00:00, 336, 117.75, 0
66945000, Rio Aquidauana , 01/04/2022 15:15:00, 336, 117.75, 0
66945000, Rio Aquidauana , 01/04/2022 15:30:00, 337, 118.41, 0
66945000, Rio Aquidauana , 01/04/2022 15:45:00, 337, 118.41, 0
66945000, Rio Aquidauana , 01/04/2022 16:00:00, 338, 119.08, 0
66945000, Rio Aquidauana , 01/04/2022 16:15:00, 338, 119.08, 0
66945000, Rio Aquidauana , 01/04/2022 16:30:00, 339, 119.75, 0
66945000, Rio Aquidauana , 01/04/2022 16:45:00, 339, 119.75, 0
66945000, Rio Aquidauana , 01/04/2022 17:00:00, 339, 119.75, 0
66945000, Rio Aquidauana , 01/04/2022 17:15:00, 340, 120.42, 0
66945000, Rio Aquidauana , 01/04/2022 17:30:00, 340, 120.42, 0
66945000, Rio Aquidauana , 01/04/2022 17:45:00, 341, 121.09, 0
66945000, Rio Aquidauana , 01/04/2022 18:00:00, 341, 121.09, 0
66945000, Rio Aquidauana , 01/04/2022 18:15:00, 341, 121.09, 0
66945000, Rio Aquidauana , 01/04/2022 18:30:00, 342, 121.76, 0
66945000, Rio Aquidauana , 01/04/2022 18:45:00, 342, 121.76, 0
66945000, Rio Aquidauana , 01/04/2022 19:00:00, 342, 121.76, 0
66945000, Rio Aquidauana , 01/04/2022 19:15:00, 342, 121.76, 0
66945000, Rio Aquidauana , 01/04/2022 19:30:00, 343, 122.43, 0
66945000, Rio Aquidauana , 01/04/2022 19:45:00, 343, 122.43, 0
66945000, Rio Aquidauana , 01/04/2022 20:00:00, 343, 122.43, 0
66945000, Rio Aquidauana , 01/04/2022 20:15:00, 343, 122.43, 0
66945000, Rio Aquidauana , 01/04/2022 20:30:00, 344, 123.1, 0
66945000, Rio Aquidauana , 01/04/2022 20:45:00, 344, 123.1, 0
66945000, Rio Aquidauana , 01/04/2022 21:00:00, 344, 123.1, 0
66945000, Rio Aquidauana , 01/04/2022 21:15:00, 344, 123.1, 0
66945000, Rio Aquidauana , 01/04/2022 21:30:00, 344, 123.1, 0
66945000, Rio Aquidauana , 01/04/2022 21:45:00, 345, 123.77, 0
66945000, Rio Aquidauana , 01/04/2022 22:00:00, 345, 123.77, 0
66945000, Rio Aquidauana , 01/04/2022 22:15:00, 345, 123.77, 0.2
66945000, Rio Aquidauana , 01/04/2022 22:30:00, 345, 123.77, 0
66945000, Rio Aquidauana , 01/04/2022 22:45:00, 345, 123.77, 0
66945000, Rio Aquidauana , 01/04/2022 23:00:00, 345, 123.77, 0
66945000, Rio Aquidauana , 01/04/2022 23:15:00, 345, 123.77, 0
66945000, Rio Aquidauana , 01/04/2022 23:30:00, 344, 123.1, 0
